訂單號,訂單日期,顧客姓名,訂單等級,訂單數量,銷售額,折扣點,運輸方式,利潤額,單價,運輸成本,區域,省份,城市,產品類別,產品子類別,產品名稱,產品包箱,運送日期,,
224,2009/6/17,魯鳴,其它,25,184.86,0.09,火車,-33.95,7.38,5.21,華南,海南,海口,傢俱產品,辦公裝飾品,"Eldon® Expressions™ Wood Desk Accessories, Oak",小型箱子,2009/6/18,,
224,2009/6/17,魯鳴,其它,44,267.85,0.04,火車,-65.43,5.98,5.15,華北,北京,北京,辦公用品,紙張,Xerox 193,小型箱子,2009/6/18,,
224,2009/6/17,魯鳴,其它,33,528.5,0.04,火車,-149.92,15.42,10.68,華北,北京,北京,辦公用品,容器，箱子,"Decoflex Hanging Personal Folder File, Blue",小型箱子,2009/6/18,,
225,2011/5/24,張子強,中級,24,126.58,0.06,火車,18.27,5.58,0.7,華東,上海,上海,辦公用品,筆、美術用品,Newell 314,打包紙袋,2011/5/25,,
225,2011/5/24,張子強,中級,1,23.7,0.05,火車,-8.97,19.84,4.1,華東,浙江,杭州,辦公用品,筆、美術用品,Prismacolor Color Pencil Set,打包紙袋,2011/5/26,,
229,2010/12/28,張新,中級,43,586.11,0.11,火車,98.44,12.64,4.98,華東,安徽,合肥,傢俱產品,辦公裝飾品,Nu-Dell Executive Frame,小型包裹,2010/12/30,,
229,2010/12/28,俞勇浩,中級,24,599.1,0.02,火車,3.82,24.92,12.98,華東,江西,南昌,辦公用品,夾子及其配件,GBC Standard Therm-A-Bind Covers,小型箱子,2010/12/29,,
230,2010/10/26,趙曉平,中級,47,2029.75,0.06,火車,320.37,43.98,8.99,華東,安徽,合肥,辦公用品,筆、美術用品,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,小型包裹,2010/10/28,,
230,2010/10/26,趙曉平,中級,11,1118.396,0.06,火車,-212.33,125.99,8.08,華南,廣東,汕頭,技術產品,電話通信產品,StarTAC ST7762,小型箱子,2010/10/28,,
231,2009/9/28,張善軒,高級,2,689.74,0.06,火車,-490.84,363.25,19.99,華南,廣東,汕頭,辦公用品,家用電器,Hoover WindTunnel™ Plus Canister Vacuum,小型箱子,2009/9/30,,
258,2010/12/28,王燕生,中級,21,154.35,0,火車,-91.14,6.48,8.74,華南,廣東,汕頭,辦公用品,紙張,Xerox 1984,小型箱子,2010/12/30,,
258,2010/12/28,王燕生,中級,7,201.36,0,大卡,-284.40,20.98,53.03,華北,北京,北京,辦公用品,容器，箱子,"Tennsco Lockers, Gray",巨型木箱,2010/12/29,,
258,2010/12/28,王燕生,中級,33,216.77,0.02,火車,-55.11,6.54,5.27,東北,遼寧,瀋陽,辦公用品,夾子及其配件,Wilson Jones® Four-Pocket Poly Binders,小型箱子,2010/12/30,,
261,2010/6/28,範鉞,中級,47,5677.609,0.04,火車,1680.79,140.99,4.2,東北,遼寧,瀋陽,技術產品,電話通信產品,7160,小型箱子,2010/6/29,,
263,2009/5/16,武駿,高級,25,136.77,0.09,火車,-136.25,5.4,7.78,東北,遼寧,瀋陽,辦公用品,夾子及其配件,3M Organizer Strips,小型箱子,2009/5/17,,
290,2009/1/5,周毅,其它,24,188.73,0.05,火車,-32.48,7.64,5.83,東北,遼寧,瀋陽,辦公用品,紙張,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",打包紙袋,2009/1/6,,
292,2012/1/12,何春香,高級,43,412.62,0.08,火車,175.54,9.9,1.39,東北,遼寧,瀋陽,辦公用品,信封,#6 3/4 Gummed Flap White Envelopes,小型箱子,2012/1/13,,
293,2012/10/1,謝平安,高級,49,10123.02,0.07,大卡,457.81,208.16,68.02,華南,廣西,南寧,辦公用品,家用電器,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",巨型木箱,2012/10/2,,
293,2012/10/1,謝平安,高級,27,244.57,0.01,火車,46.71,8.69,2.99,華南,河南,鄭州,辦公用品,夾子及其配件,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",小型箱子,2012/10/3,,
294,2010/7/15,王志軍,中級,35,6375.28,0.06,火車,489.02,193.17,19.99,西北,陝西,西安,辦公用品,容器，箱子,Fellowes Staxonsteel® Drawer Files,小型箱子,2010/7/16,,
322,2012/3/18,李秋富,中級,20,2634.8555,0.08,火車,257.76,155.99,8.08,華南,湖北,武漢,技術產品,電話通信產品,I888 World Phone,小型箱子,2012/3/20,,
322,2012/3/18,李秋富,中級,46,281,0.1,火車,-291.59,6.48,10.05,華南,廣東,汕頭,辦公用品,紙張,Xerox 1997,小型箱子,2012/3/20,,
323,2009/3/25,高磊,中級,20,108.09,0.07,火車,25.76,5.68,1.39,華南,廣東,汕頭,辦公用品,信封,Staples Standard Envelopes,小型箱子,2009/3/27,,
323,2009/3/25,高磊,中級,2,55.34,0.06,火車,-31.24,22.84,11.54,華北,內蒙古,呼和浩特,辦公用品,紙張,Xerox 1964,小型箱子,2009/3/27,,
324,2012/3/19,包小林,中級,25,3872.634,0.02,火車,667.33,179.99,13.99,華東,安徽,合肥,技術產品,電話通信產品,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,中型箱子,2012/3/21,,
325,2010/10/16,胡曉,低級,9,884.1275,0.06,火車,-178.71,115.99,4.23,西北,甘肅,蘭州,技術產品,電話通信產品,282,小型箱子,2010/10/20,,
326,2011/6/3,郎雨生,高級,34,218.27,0.03,火車,-44.14,5.99,4.92,華北,內蒙古,呼和浩特,辦公用品,夾子及其配件,"DXL™ Angle-View Binders with Locking Rings, Black",小型箱子,2011/6/4,,
326,2011/6/3,郎雨生,高級,17,100.95,0.05,火車,-21.30,5.81,3.37,華北,內蒙古,呼和浩特,辦公用品,橡皮筋,"Advantus Push Pins, Aluminum Head",打包紙袋,2011/6/4,,
353,2010/12/30,唐俊鵬,低級,21,46.94,0.02,火車,3.88,2.21,1,華北,山西,太原,辦公用品,筆、美術用品,"Quartet Alpha® White Chalk, 12/Pack",打包紙袋,2011/4/1,,
355,2009/6/13,姚華,低級,16,1239.6315,0,火車,-172.55,85.99,0.99,東北,吉林,長春,技術產品,電話通信產品,Accessory4,打包紙袋,2009/6/18,,
358,2010/9/19,陸玉英,高級,33,1640.9,0.02,大卡,-1348.06,48.58,54.11,東北,黑龍江,哈爾濱,傢俱產品,書架,O'Sullivan 2-Shelf Heavy-Duty Bookcases,巨型紙箱,2010/9/21,,
358,2010/9/19,陸玉英,高級,33,1235.87,0.07,火車,269.27,39.48,1.99,華南,河南,鄭州,技術產品,電腦配件,"80 Minute CD-R Spindle, 100/Pack - Staples",小型包裹,2010/9/19,,
359,2009/12/18,孫婷露,中級,30,3659.66,0.08,大卡,-500.38,124.49,51.94,華南,廣西,南寧,傢俱產品,桌子,Bevis 36 x 72 Conference Tables,巨型紙箱,2009/12/19,,
384,2012/3/2,張檳,低級,50,7666.04,0.02,大卡,-1820.84,146.05,80.2,華南,河南,鄭州,傢俱產品,桌子,BPI Conference Tables,巨型紙箱,2012/3/9,,
386,2011/1/24,寶豔,高級,4,14.96,0.02,火車,-0.03,3.69,0.5,華南,廣西,南寧,辦公用品,標籤,Avery 501,小型箱子,2011/1/26,,
386,2011/1/24,寶豔,高級,4,15.69,0.09,火車,-1.59,3.85,0.7,華南,廣西,南寧,辦公用品,筆、美術用品,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,打包紙袋,2011/1/26,,
388,2012/12/15,孫敏,其它,46,517.93,0.06,火車,-94.73,11.7,6.96,西北,甘肅,蘭州,辦公用品,家用電器,Harmony HEPA Quiet Air Purifiers,中型箱子,2012/12/18,,
416,2010/9/26,楊光,低級,20,1156.6715,0.01,空運,88.52,65.99,7.69,西北,陝西,西安,技術產品,電話通信產品,5190,小型箱子,2010/10/1,,
417,2009/2/5,盧亞靈,中級,39,15260.78,0.07,大卡,8734.88,500.98,28.14,華東,浙江,杭州,技術產品,辦公機器,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",巨型木箱,2009/2/6,,
417,2009/2/5,盧亞靈,中級,3,540.41,0.1,火車,-170.98,178.47,19.99,華東,浙江,杭州,辦公用品,容器，箱子,"Hot File® 7-Pocket, Floor Stand",小型箱子,2009/2/7,,
420,2011/10/30,王仲奇,其它,8,43.29,0.09,火車,-20.69,4.98,4.86,華東,上海,上海,辦公用品,紙張,Xerox 190,小型箱子,2011/10/30,,
420,2011/10/30,王仲奇,其它,6,41.7,0.03,火車,-14.56,5.78,5.37,華東,安徽,合肥,辦公用品,紙張,Xerox 1950,小型箱子,2011/11/1,,
448,2011/8/20,呂果,中級,22,1162.4005,0.09,火車,-284.63,65.99,19.99,華南,湖南,長沙,技術產品,電話通信產品,iDENi80s,小型箱子,2011/8/22,,
449,2011/7/19,孫果,高級,45,356.7,0.02,火車,-48.97,7.38,5.21,華南,廣東,汕頭,傢俱產品,辦公裝飾品,"Eldon® Expressions™ Wood Desk Accessories, Oak",小型箱子,2011/7/21,,
450,2011/3/4,田鳳琴,其它,29,1000.78,0.05,空運,109.33,34.58,8.99,華南,湖北,武漢,辦公用品,筆、美術用品,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,小型包裹,2011/3/5,,
450,2011/3/4,田鳳琴,其它,35,543.72,0.05,火車,-211.13,15.7,11.25,華南,廣西,南寧,辦公用品,容器，箱子,Hanging Personal Folder File,小型箱子,2011/3/6,,
454,2011/12/26,高瑞昌,低級,42,234.2,0.09,火車,56.22,6.08,1.82,華南,廣西,南寧,辦公用品,橡皮筋,Staples Bulk Pack Metal Binder Clips,打包紙袋,2011/12/28,,
481,2012/10/7,謝雲,高級,44,4509.3775,0.01,火車,1426.26,115.99,5.26,華南,海南,海口,技術產品,電話通信產品,636,小型箱子,2012/10/9,,
483,2011/7/10,邱玉紅,高級,30,4965.7595,0.08,火車,1198.97,195.99,3.99,華北,內蒙古,呼和浩特,技術產品,電話通信產品,R380,小型箱子,2011/7/12,,
487,2012/8/17,周楠,中級,19,210.4,0.07,火車,-18.96,10.89,4.5,華東,浙江,杭州,辦公用品,家用電器,Belkin 6 Outlet Metallic Surge Strip,小型箱子,2012/8/18,,
512,2011/5/19,楊玲玲,低級,6,1309.53,0.06,火車,19.18,218.08,18.06,華北,山西,太原,傢俱產品,椅子,"Lifetime Advantage™ Folding Chairs, 4/Carton",大型箱子,2011/5/19,,
512,2011/5/19,楊玲玲,低級,48,806.37,0.01,空運,-166.40,15.42,10.68,華北,山西,太原,辦公用品,容器，箱子,"Decoflex Hanging Personal Folder File, Blue",小型箱子,2011/5/21,,
513,2011/4/30,謝愚舅,高級,33,5437.92,0,大卡,-684.57,150.89,60.2,華北,內蒙古,呼和浩特,傢俱產品,椅子,"Global Leather & Oak Executive Chair, Burgundy",巨型木箱,2011/4/30,,
515,2010/8/28,鄭則強,其它,19,394.27,0.08,火車,30.94,21.78,5.94,華北,山西,太原,辦公用品,家用電器,Holmes HEPA Air Purifier,中型箱子,2010/8/30,,
515,2010/8/28,鄭則強,其它,21,146.69,0.05,火車,4.43,6.64,4.95,西南,西藏,拉薩,傢俱產品,辦公裝飾品,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,小型包裹,2010/8/30,,
548,2009/9/20,楊子梅,中級,41,129.49,0.04,火車,36.02,3.08,0.99,華南,廣西,南寧,辦公用品,標籤,Avery 481,小型箱子,2009/9/21,,
548,2009/9/20,楊子梅,中級,29,202.95,0.02,火車,-50.64,6.48,5.9,華北,北京,北京,辦公用品,紙張,Xerox 1976,小型箱子,2009/9/21,,
548,2009/9/20,楊子梅,中級,26,2753.1925,0.04,火車,510.49,125.99,4.2,華東,上海,上海,技術產品,電話通信產品,V3682,小型箱子,2009/9/22,,
549,2012/7/12,齊軍,中級,13,70.24,0.03,火車,-59.75,4.98,7.44,華南,河南,鄭州,辦公用品,紙張,Xerox 1922,小型箱子,2012/7/13,,
549,2012/7/12,齊軍,中級,5,40.75,0.05,火車,-27.57,6.48,8.74,華北,天津,天津,辦公用品,紙張,Xerox 1984,小型箱子,2012/7/13,,
549,2012/7/12,齊軍,中級,30,1150.88,0.05,空運,-911.56,38.94,35,華北,山西,太原,辦公用品,容器，箱子,"Eldon Base for stackable storage shelf, platinum",大型箱子,2012/7/12,,
610,2011/8/1,李青,中級,38,283.65,0.02,空運,-29.21,6.68,5.41,華南,廣東,汕頭,辦公用品,紙張,Xerox 195,小型箱子,2011/8/3,,
611,2010/1/26,謝愚舅,中級,47,840.04,0.04,火車,-131.27,17.7,9.47,華北,山西,太原,辦公用品,容器，箱子,Portfile® Personal File Boxes,小型箱子,2010/1/28,,
612,2012/10/20,艾楠麗,中級,50,262.87,0.1,火車,-166.29,5.28,6.26,東北,吉林,長春,辦公用品,紙張,Xerox 1928,小型箱子,2012/10/22,,
612,2012/10/20,艾楠麗,中級,43,2531.0875,0.01,火車,881.68,65.99,2.5,華北,河北,石家莊,技術產品,電話通信產品,6190,小型箱子,2012/10/22,,
613,2011/6/17,餘偉,高級,12,93.54,0.03,火車,-54.04,7.3,7.72,東北,黑龍江,哈爾濱,辦公用品,夾子及其配件,"Angle-D Binders with Locking Rings, Label Holders",小型箱子,2011/6/17,,
613,2011/6/17,餘偉,高級,22,905.08,0.09,火車,127.70,42.76,6.22,東北,黑龍江,哈爾濱,辦公用品,容器，箱子,"SAFCO Mobile Desk Side File, Wire Frame",小型箱子,2011/6/18,,
614,2012/11/30,高捷,高級,41,628.22,0,火車,163.81,14.34,5,東北,吉林,長春,傢俱產品,辦公裝飾品,Nu-Dell Leatherette Frames,小型包裹,2012/12/2,,
614,2012/11/30,高捷,高級,24,3366.1,0.07,大卡,-335.32,138.75,52.42,東北,黑龍江,哈爾濱,傢俱產品,桌子,Balt Split Level Computer Training Table,巨型紙箱,2012/12/1,,
640,2010/1/22,李爽,高級,39,4913.69,0.02,大卡,-1153.90,120.98,58.64,華北,天津,天津,傢俱產品,書架,O'Sullivan Living Dimensions 2-Shelf Bookcases,巨型紙箱,2010/1/23,,
640,2010/1/22,李爽,高級,24,464.77,0.01,火車,29.42,18.97,9.54,華北,天津,天津,辦公用品,紙張,Xerox 1939,小型箱子,2010/1/23,,
643,2011/3/24,張穎,高級,21,2781.82,0.07,空運,-695.26,138.14,35,西北,寧夏,銀川,辦公用品,容器，箱子,"SAFCO Commercial Wire Shelving, Black",大型箱子,2011/3/25,,
644,2012/4/30,呂大強,中級,5,1679.58,0.01,大卡,-171.92,320.98,58.95,西北,甘肅,蘭州,傢俱產品,椅子,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,巨型木箱,2012/5/1,,
645,2009/12/2,賀曉晨,高級,42,557.85,0.05,火車,89.45,12.95,4.98,華東,浙江,杭州,辦公用品,夾子及其配件,GBC Binding covers,小型箱子,2009/12/4,,
646,2009/11/21,包忠然,高級,18,173.2,0.01,火車,-10.90,9.31,3.98,華東,浙江,杭州,辦公用品,剪刀，尺子，鋸,Acme® Forged Steel Scissors with Black Enamel Handles,小型包裹,2009/11/22,,
678,2010/2/26,周文龍,低級,44,228.41,0.07,火車,-226.36,4.98,8.33,華東,安徽,合肥,辦公用品,紙張,Xerox 198,小型箱子,2010/2/26,,
706,2011/9/8,朱正玉,中級,42,75.14,0.05,火車,0.82,1.76,0.7,華南,廣東,汕頭,辦公用品,筆、美術用品,Newell 326,打包紙袋,2011/9/10,,
710,2010/1/1,張小燕,低級,42,161.77,0.01,火車,-150.37,3.58,5.47,華南,河南,鄭州,辦公用品,夾子及其配件,Avery Poly Binder Pockets,小型箱子,2010/1/5,,
710,2010/1/1,張小燕,低級,11,447.09,0.09,火車,89.03,41.32,8.66,華南,河南,鄭州,傢俱產品,辦公裝飾品,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",中型箱子,2010/1/3,,
710,2010/1/1,張小燕,低級,29,4192.88,0.02,大卡,731.32,145.45,17.85,西北,寧夏,銀川,技術產品,辦公機器,Panasonic KX-P1150 Dot Matrix Printer,巨型木箱,2010/1/5,,
738,2010/3/1,牛莉麗,其它,7,560.51,0.04,火車,32.60,80.98,4.5,西南,四川,成都,辦公用品,家用電器,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,小型箱子,2010/3/3,,
738,2010/3/1,牛莉麗,其它,31,189.95,0.08,火車,-56.68,6.48,5.14,華南,廣西,南寧,辦公用品,紙張,Xerox 23,小型箱子,2010/3/2,,
740,2011/7/15,柳承剛,中級,6,28.01,0.09,火車,3.46,4.98,0.49,西北,寧夏,銀川,辦公用品,標籤,Avery White Multi-Purpose Labels,小型箱子,2011/7/15,,
769,2010/6/1,胡張坤,中級,37,4261.94,0.02,大卡,4.15,115.99,56.14,華北,內蒙古,呼和浩特,技術產品,辦公機器,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,巨型木箱,2010/6/2,,
771,2011/6/16,高鳳,中級,18,88.84,0.08,火車,-38.35,4.98,4.72,華北,河北,石家莊,辦公用品,紙張,Xerox 1949,小型箱子,2011/6/17,,
772,2010/4/16,湯雪梅,高級,35,589.24,0.08,火車,-38.35,17.52,8.17,東北,遼寧,瀋陽,辦公用品,家用電器,Bionaire 99.97% HEPA Air Cleaner,中型箱子,2010/4/18,,
772,2010/4/16,湯雪梅,高級,25,233.05,0.1,火車,86.93,9.9,1.39,西南,四川,成都,辦公用品,信封,#6 3/4 Gummed Flap White Envelopes,小型箱子,2010/4/18,,
773,2010/9/25,楊高寧,中級,38,2071.3395,0.06,火車,324.93,65.99,8.99,華南,海南,海口,技術產品,電話通信產品,Talkabout T8367,小型箱子,2010/9/26,,
774,2011/12/3,任錦升,中級,17,126.57,0.03,火車,-752.13,4.48,49,華北,天津,天津,辦公用品,家用電器,Hoover Portapower™ Portable Vacuum,大型箱子,2011/12/5,,
775,2011/3/17,周勇,中級,35,43.57,0.1,火車,-19.17,1.26,0.7,西北,新疆,烏魯木齊,辦公用品,橡皮筋,Bagged Rubber Bands,打包紙袋,2011/3/18,,
775,2011/3/17,周勇,中級,8,31.87,0.1,火車,-1.25,4.26,1.2,華東,福建,福州,辦公用品,筆、美術用品,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",打包紙袋,2011/3/19,,
801,2012/2/17,肖明,中級,20,59.85,0.03,火車,-47.41,2.74,3.5,華東,Jiangsu,南京,辦公用品,筆、美術用品,Rogers Handheld Barrel Pencil Sharpener,小型包裹,2012/2/20,,
802,2011/1/4,李丹丹,中級,33,378.6,0.08,火車,12.72,11.7,5.63,華南,河南,鄭州,辦公用品,夾子及其配件,Fellowes Binding Cases,小型箱子,2011/1/6,,
802,2011/1/4,李丹丹,中級,2,38.5,0.09,火車,-52.14,15.99,9.4,華南,海南,海口,技術產品,辦公機器,"AT&T Black Trimline Phone, Model 210",小型箱子,2011/1/4,,
805,2011/7/4,李傑,其它,39,197.56,0.02,火車,-119.86,4.97,5.71,華北,山西,太原,傢俱產品,辦公裝飾品,"DAX Value U-Channel Document Frames, Easel Back",中型箱子,2011/7/6,,
807,2010/11/23,陶蔚紅,中級,45,196.85,0.01,火車,-166.85,4.28,6.18,西北,陝西,西安,辦公用品,紙張,Xerox 1980,小型箱子,2010/11/24,,
807,2010/11/23,陶蔚紅,中級,32,124.56,0.04,火車,-14.33,3.95,2,華南,廣東,汕頭,辦公用品,橡皮筋,Advantus Map Pennant Flags and Round Head Tacks,打包紙袋,2010/11/24,,
832,2012/4/18,馬明亮,低級,7,53.46,0.02,火車,-17.58,6.48,5.9,華南,廣東,汕頭,辦公用品,紙張,Xerox 1976,小型箱子,2012/4/22,,
833,2009/2/12,朱先,中級,1,19.32,0.03,火車,-20.32,12.53,7.17,華北,北京,北京,辦公用品,夾子及其配件,GBC ProClick Spines for 32-Hole Punch,小型箱子,2009/2/13,,
834,2009/5/22,楊波,中級,15,1813.04,0.01,大卡,-164.40,115.99,56.14,華北,山西,太原,技術產品,辦公機器,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,巨型木箱,2009/5/23,,
835,2011/10/7,包忠然,其它,18,125.16,0.02,火車,-23.48,6.48,5.14,華北,內蒙古,呼和浩特,辦公用品,紙張,Xerox 23,小型箱子,2011/10/8,,
837,2009/6/14,張治燦,其它,11,65.7,0.01,火車,13.41,5.84,0.83,東北,黑龍江,哈爾濱,辦公用品,筆、美術用品,Avery Hi-Liter® Smear-Safe Highlighters,打包紙袋,2009/6/16,,
868,2012/6/8,李嘉偉,其它,32,716.84,0,火車,134.72,21.78,5.94,西南,四川,宜賓,辦公用品,家用電器,Holmes HEPA Air Purifier,中型箱子,2012/6/9,,
868,2012/6/8,李嘉偉,其它,31,1474.33,0.04,火車,114.46,47.98,3.61,華南,河南,鄭州,技術產品,電腦配件,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",小型包裹,2012/6/10,,
870,2010/6/19,周楠,其它,23,1661.04,0.04,火車,475.54,70.97,3.5,華南,河南,鄭州,辦公用品,家用電器,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,小型箱子,2010/6/19,,
871,2011/11/14,唐晨,低級,17,104.94,0.06,火車,-34.97,6.24,5.22,華南,廣西,南寧,傢俱產品,辦公裝飾品,Eldon Expressions Mahogany Wood Desk Collection,小型箱子,2011/11/14,,
